A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB
1,2469,306,2587,621,1715,1299,1225,1024,1588,1228,19.39,1.64,21.14,-13.5,8.22,-46.1,0.96,-32.88
2,5480,309,5594,340,5332,1363,4239,1027,1588,1228,19.45,1.49,21.14,0.0,17.26,-49.18,1.06,-33.02
3,8481,306,8605,631,7938,1316,7240,1027,1588,1228,19.35,1.64,21.19,-13.99,11.3,-46.92,0.96,-33.02
4,11510,303,11638,611,10752,1296,10269,1021,1588,1228,19.39,1.78,21.29,-13.02,8.16,-45.96,1.0,-32.73
5,14527,299,14648,494,13729,1302,13283,1021,1588,1228,19.39,1.98,21.19,-7.4,7.57,-46.24,0.96,-32.73
6,17532,303,17646,370,17294,1329,16288,1024,1588,1228,19.5,1.78,21.19,-1.44,15.97,-47.54,1.06,-32.88
7,20556,303,20670,306,20177,1316,19315,1031,1588,1228,19.45,1.78,21.14,1.64,13.84,-46.92,1.06,-33.22
8,23575,306,23693,346,23384,1359,22337,1024,1588,1228,19.35,1.64,21.1,-0.28,16.52,-48.98,1.0,-32.88
9,26583,299,26691,296,26405,1349,25335,1024,1588,1228,19.5,1.98,21.1,2.12,16.86,-48.5,1.0,-32.88
10,29603,303,29718,497,29399,1313,28359,1024,1588,1228,19.39,1.78,21.1,-7.54,16.37,-46.77,0.96,-32.88
11,32620,303,32741,480,32131,1289,31383,1021,1588,1228,19.39,1.78,21.19,-6.73,12.15,-45.62,1.06,-32.73
12,35673,303,35781,330,35009,1289,34429,1031,1588,1228,19.5,1.78,21.1,0.48,9.66,-45.62,1.06,-33.22
