A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB
1,2458,303,2546,296,2227,1343,1210,1027,1591,1210,19.18,1.94,20.46,2.28,15.81,-48.05,0.98,-32.86
2,5487,299,5581,306,4846,1313,4242,1021,1591,1210,19.13,2.14,20.5,1.8,9.79,-46.61,0.98,-32.57
3,8492,303,8580,309,8113,1336,7248,1024,1591,1210,19.18,1.94,20.46,1.66,13.65,-47.72,1.04,-32.72
4,11501,309,11585,306,10783,1306,10253,1024,1591,1210,19.13,1.66,20.36,1.8,8.67,-46.28,0.94,-32.72
5,14540,299,14708,531,14010,1302,13288,1031,1591,1210,19.38,2.14,21.83,-9.02,11.65,-46.08,1.13,-33.05
6,17552,299,17757,927,17096,1296,16290,1021,1591,1210,19.38,2.14,22.37,-28.05,12.73,-45.79,0.98,-32.57
7,20555,299,20713,759,20159,1286,19297,1027,1591,1210,19.38,2.14,21.68,-19.98,13.61,-45.31,1.04,-32.86
8,23577,299,23637,303,23127,1292,22322,1017,1591,1210,19.38,2.14,20.26,1.94,12.82,-45.6,1.08,-32.38
9,26583,306,26667,296,25969,1313,25338,1021,1591,1210,19.13,1.8,20.36,2.28,10.18,-46.61,0.98,-32.57
10,29585,299,29676,289,28948,1292,28337,1021,1591,1210,19.13,2.14,20.46,2.62,9.85,-45.6,0.94,-32.57
11,32606,303,32703,293,31643,1302,31361,1024,1591,1210,19.13,1.94,20.55,2.42,5.09,-46.08,0.98,-32.72
12,35629,303,35730,313,35193,1333,34381,1027,1591,1210,19.13,1.94,20.61,1.46,12.78,-47.57,0.94,-32.86
