A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB
1,3981,303,4078,306,3538,1316,2736,1024,1591,2736,19.4,1.94,20.84,1.8,12.84,-46.76,0.95,-32.72
2,6984,303,7081,299,5961,1245,5739,1037,1591,2736,19.4,1.94,20.84,2.14,4.24,-43.34,0.95,-33.34
3,9997,306,10094,306,9779,1296,8746,1024,1591,2736,19.4,1.8,20.84,1.8,16.17,-45.79,0.86,-32.72
4,13029,296,13120,293,12455,1289,11778,1024,1591,2736,19.55,2.28,20.9,2.42,11.04,-45.46,1.01,-32.72
5,16035,306,16129,383,15458,1245,14784,1021,1591,2736,19.45,1.8,20.84,-1.9,10.89,-43.34,0.9,-32.57
6,19038,303,19126,296,18783,1343,17790,1024,1591,2736,19.45,1.94,20.75,2.28,15.67,-48.05,0.95,-32.72
7,22068,306,22206,618,21179,1239,20823,1031,1591,2736,19.4,1.8,21.45,-13.2,6.23,-43.05,0.95,-33.05
9,28083,306,28170,470,27694,1316,26838,1021,1591,2736,19.4,1.8,20.69,-6.08,13.64,-46.76,0.95,-32.57
10,31109,306,31190,306,30942,1343,29861,1021,1591,2736,19.45,1.8,20.65,1.8,16.97,-48.05,0.95,-32.57
11,34122,306,34213,296,33482,1289,32878,1024,1591,2736,19.45,1.8,20.79,2.28,9.96,-45.46,1.01,-32.72
12,37124,306,37218,299,36694,1282,35876,1024,1591,2736,21.49,1.8,22.88,2.14,15.12,-45.12,3.14,-32.72
