A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB
1,3960,299,4078,289,3393,1323,2712,1014,1588,2716,19.22,2.14,20.95,2.62,10.91,-47.09,0.92,-32.24
2,6984,296,7104,296,6366,1306,5742,1014,1588,2716,19.13,2.28,20.89,2.28,10.07,-46.28,0.92,-32.24
3,9999,296,10120,373,9815,1353,8755,1021,1588,2716,19.22,2.28,20.99,-1.42,16.52,-48.53,0.98,-32.57
4,13009,299,13120,293,12821,1349,11761,1021,1588,2716,19.22,2.14,20.84,2.42,16.46,-48.34,0.92,-32.57
5,16028,299,16156,564,15787,1349,14787,1021,1588,2716,19.22,2.14,21.09,-10.6,15.68,-48.34,1.03,-32.57
6,19048,296,19169,356,18810,1356,17804,1021,1588,2716,19.22,2.28,20.99,-0.6,15.73,-48.68,0.98,-32.57
7,22052,299,22176,336,21867,1359,20807,1017,1588,2716,19.28,2.14,21.09,0.36,16.56,-48.82,1.03,-32.38
8,25077,296,25191,293,24886,1349,23833,1021,1588,2716,19.22,2.28,20.89,2.42,16.42,-48.34,0.98,-32.57
9,28097,299,28215,289,27933,1339,26853,1017,1588,2716,19.22,2.14,20.95,2.62,16.81,-47.86,0.98,-32.38
10,31100,296,31220,293,30865,1339,29855,1017,1588,2716,19.28,2.28,21.03,2.42,15.83,-47.86,1.03,-32.38
11,34113,293,34237,296,33888,1333,32872,1021,1588,2716,19.17,2.42,20.99,2.28,15.87,-47.57,0.98,-32.57
12,37217,303,37338,293,36811,1353,35973,1017,1588,2716,21.43,1.94,23.2,2.42,15.48,-48.53,3.19,-32.38
