A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB
1,3971,303,4078,333,3468,1329,2723,1017,1591,2723,19.36,1.64,20.94,0.21,11.95,-47.42,0.96,-32.5
2,6991,299,7105,309,6749,1349,5746,1017,1591,2723,19.32,1.83,21.0,1.35,15.75,-48.38,0.96,-32.5
3,9993,306,10120,427,9758,1370,8751,1021,1591,2723,19.32,1.5,21.19,-4.29,15.85,-49.38,1.01,-32.69
4,13009,303,13137,588,12372,1316,11768,1014,1591,2723,19.36,1.64,21.25,-11.99,9.97,-46.8,1.07,-32.36
5,16034,299,16152,309,15243,1289,14793,1021,1591,2723,19.26,1.83,21.0,1.35,7.6,-45.51,0.96,-32.69
6,19042,299,19156,306,18475,1323,17797,1021,1591,2723,19.32,1.83,21.0,1.5,10.96,-47.13,0.96,-32.69
7,22054,299,22161,296,21889,1356,20806,1024,1591,2723,19.32,1.83,20.89,1.97,16.88,-48.71,0.92,-32.84
8,25073,299,25231,588,24724,1333,23832,1017,1591,2723,19.26,1.83,21.59,-11.99,14.11,-47.61,0.96,-32.5
9,28090,299,28204,296,27895,1346,26845,1021,1591,2723,19.32,1.83,21.0,1.97,16.44,-48.23,0.96,-32.69
10,31098,303,31222,497,30501,1316,29854,1024,1591,2723,19.26,1.64,21.08,-7.64,10.46,-46.8,0.92,-32.84
11,34121,303,34245,531,33907,1363,32873,1011,1591,2723,19.26,1.64,21.08,-9.26,16.1,-49.05,0.86,-32.22
12,37133,303,37247,319,36506,1306,35888,1017,1591,2723,21.44,1.64,23.12,0.87,12.2,-46.32,3.09,-32.5
