A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,4009,281,4260,443,3838,1288,2801,987,1591,2801,18.76,2.84,22.48,-4.95,16.22,-45.57,0.86,-31.1,40_0013100_0013124-reel_begin_end.tiff
2,7022,281,7277,552,6391,1238,5821,987,1591,2801,18.66,2.84,22.43,-10.19,9.3,-43.17,0.86,-31.1,40_0013100_0013124-reel_begin_end.tiff
3,10002,282,10264,426,9764,1303,8821,979,1591,2801,18.36,2.79,22.24,-4.13,14.83,-46.29,0.86,-30.72,40_0013100_0013124-reel_begin_end.tiff
4,13008,281,13263,396,12844,1289,11844,984,1591,2801,18.15,2.84,21.93,-2.69,15.72,-45.62,0.9,-30.96,40_0013100_0013124-reel_begin_end.tiff
5,16002,284,16270,602,15730,1286,14861,990,1591,2801,17.77,2.7,21.74,-12.59,13.73,-45.47,0.86,-31.24,40_0013100_0013124-reel_begin_end.tiff
6,18981,283,19243,386,18545,1289,17864,990,1591,2801,17.31,2.74,21.19,-2.21,10.84,-45.62,0.75,-31.24,40_0013100_0013124-reel_begin_end.tiff
7,21968,281,22230,466,21740,1295,20881,989,1591,2801,16.97,2.84,20.85,-6.05,13.59,-45.91,0.86,-31.2,40_0013100_0013124-reel_begin_end.tiff
8,24948,282,25216,314,24730,1285,23911,985,1591,2801,16.22,2.79,20.2,1.25,12.99,-45.43,0.86,-31.0,40_0013100_0013124-reel_begin_end.tiff
9,27917,283,28179,321,27555,1266,26911,987,1591,2801,15.76,2.74,19.65,0.92,10.4,-44.51,0.86,-31.1,40_0013100_0013124-reel_begin_end.tiff
10,30897,285,31176,588,30428,1259,29921,988,1591,2801,15.32,2.65,19.46,-11.92,8.37,-44.18,0.86,-31.15,40_0013100_0013124-reel_begin_end.tiff
11,33897,286,34172,616,33686,1268,32954,986,1591,2801,14.88,2.6,18.95,-13.26,11.75,-44.61,0.9,-31.05,40_0013100_0013124-reel_begin_end.tiff
12,36920,283,37182,363,36732,1253,36054,985,1591,2801,16.67,2.74,20.55,-1.1,13.88,-43.89,3.83,-31.0,40_0013100_0013124-reel_begin_end.tiff
