A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB
1,2160,309,2210,309,1858,1336,1224,1011,1584,1227,14.77,1.51,15.51,1.51,10.32,-47.6,0.97,-32.05
2,5176,316,5250,303,5116,1359,4230,1014,1584,1227,14.96,1.18,16.05,1.8,14.08,-48.7,1.02,-32.2
3,8220,306,8297,299,7851,1323,7257,1021,1584,1227,15.25,1.66,16.39,1.99,9.82,-46.97,1.06,-32.53
4,11254,313,11305,306,10885,1343,10275,1021,1584,1227,15.55,1.32,16.3,1.66,10.11,-47.93,1.12,-32.53
5,14278,309,14335,309,13986,1316,13282,1014,1584,1227,15.84,1.51,16.68,1.51,11.54,-46.64,1.16,-32.2
6,17323,299,17376,303,17078,1282,16293,1021,1584,1227,16.15,1.99,16.93,1.8,12.54,-45.01,0.97,-32.53
7,20363,306,20417,306,20061,1202,19323,1011,1584,1227,16.39,1.66,17.19,1.66,11.94,-41.19,1.06,-32.05
8,23380,309,23433,303,23011,1175,22326,1014,1584,1227,16.6,1.51,17.38,1.8,11.16,-39.9,1.06,-32.2
9,26414,303,26471,299,25605,1249,25344,1014,1584,1227,16.74,1.8,17.58,1.99,4.82,-43.44,0.97,-32.2
10,29455,303,29518,299,29045,1326,28368,1017,1584,1227,16.99,1.8,17.92,1.99,10.95,-47.12,0.97,-32.34
11,32472,313,32536,309,31831,1296,31375,1021,1584,1227,17.33,1.32,18.28,1.51,7.88,-45.68,1.16,-32.53
12,35503,313,35566,303,35244,1353,34386,1021,1584,1227,17.44,1.32,18.36,1.8,13.62,-48.41,0.97,-32.53
