A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3961,286,4085,331,3374,1321,2716,1006,1591,2716,19.21,2.61,21.04,0.46,10.56,-46.88,0.86,-31.82,40_0012850_0012874-reel_begin_end.tiff
2,6988,286,7112,283,6780,1363,5746,1005,1591,2716,19.17,2.61,21.0,2.76,16.1,-48.89,0.86,-31.77,40_0012850_0012874-reel_begin_end.tiff
3,10008,285,10132,283,9209,1292,8759,1011,1591,2716,19.17,2.66,21.0,2.76,7.39,-45.49,0.76,-32.05,40_0012850_0012874-reel_begin_end.tiff
4,13014,286,13138,288,12789,1353,11766,1008,1591,2716,19.26,2.61,21.09,2.52,15.94,-48.41,0.86,-31.91,40_0012850_0012874-reel_begin_end.tiff
5,16034,287,16158,287,15863,1365,14786,1007,1591,2716,19.26,2.57,21.09,2.57,16.74,-48.98,0.86,-31.86,40_0012850_0012874-reel_begin_end.tiff
6,19058,286,19182,293,18860,1357,17813,1006,1591,2716,19.17,2.61,21.0,2.28,16.25,-48.6,0.82,-31.82,40_0012850_0012874-reel_begin_end.tiff
7,22058,286,22192,372,21437,1291,20816,1006,1591,2716,19.17,2.61,21.15,-1.5,10.02,-45.44,0.86,-31.82,40_0012850_0012874-reel_begin_end.tiff
8,25074,285,25205,366,24957,1318,23833,1004,1591,2716,19.26,2.66,21.19,-1.21,17.53,-46.74,0.97,-31.72,40_0012850_0012874-reel_begin_end.tiff
9,28101,285,28235,403,27843,1326,26856,1007,1591,2716,19.21,2.66,21.19,-2.98,15.41,-47.12,0.86,-31.86,40_0012850_0012874-reel_begin_end.tiff
10,31104,287,31235,287,30658,1323,29859,1009,1591,2716,19.11,2.57,21.04,2.57,12.54,-46.97,0.76,-31.96,40_0012850_0012874-reel_begin_end.tiff
11,34114,285,34245,375,33504,1320,32876,1005,1591,2716,19.26,2.66,21.19,-1.64,10.27,-46.83,1.01,-31.77,40_0012850_0012874-reel_begin_end.tiff
12,37141,284,37268,284,36943,1346,35900,1004,1591,2716,21.73,2.71,23.61,2.71,18.82,-48.07,3.44,-31.72,40_0012850_0012874-reel_begin_end.tiff
