A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB
1,2455,313,2576,480,2280,1370,1207,1021,1591,1210,19.35,1.16,21.15,-6.82,16.76,-49.38,0.86,-32.69
2,5480,319,5601,578,5279,1353,4236,1017,1591,1210,19.4,0.87,21.19,-11.51,16.42,-48.57,0.96,-32.5
3,8497,299,8624,376,7963,1323,7259,1024,1591,1210,19.31,1.83,21.19,-1.85,11.39,-47.13,0.96,-32.84
4,11500,289,11617,480,10688,1282,10255,1017,1591,1210,19.46,2.31,21.19,-6.82,7.42,-45.17,1.0,-32.5
5,14519,299,14640,293,14063,1326,13281,1021,1591,1210,19.25,1.83,21.04,2.12,12.49,-47.28,0.9,-32.69
6,17545,299,17659,313,17397,1363,16300,1014,1591,1210,19.46,1.83,21.15,1.16,17.26,-49.05,1.0,-32.36
7,20548,296,20662,293,20410,1366,19306,1021,1591,1210,19.31,1.97,21.0,2.12,17.26,-49.19,0.9,-32.69
8,23561,296,23678,293,23306,1359,22316,1021,1591,1210,19.31,1.97,21.04,2.12,15.53,-48.86,0.86,-32.69
9,26587,293,26711,403,25839,1296,25342,1017,1591,1210,19.35,2.12,21.19,-3.14,8.27,-45.84,0.9,-32.5
10,29587,299,29704,296,29382,1349,28345,1021,1591,1210,19.31,1.83,21.04,1.97,16.27,-48.38,0.9,-32.69
11,32599,296,32723,380,32448,1349,31357,1021,1591,1210,19.31,1.97,21.15,-2.04,17.07,-48.38,0.9,-32.69
12,35628,296,35749,538,35487,1363,34387,1021,1591,1210,19.4,1.97,21.19,-9.6,17.31,-49.05,1.0,-32.69
