A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB
1,3878,306,3952,299,3217,1309,2727,1024,1588,2727,18.09,1.8,19.2,2.14,8.24,-46.42,0.94,-32.72
2,6902,303,6976,303,6523,1343,5738,1024,1588,2727,18.39,1.94,19.49,1.94,12.74,-48.05,1.04,-32.72
3,9950,319,10023,306,9534,1333,8765,1021,1588,2727,18.75,1.17,19.84,1.8,12.55,-47.57,1.09,-32.57
4,12973,303,13067,350,12889,1370,11775,1024,1588,2727,18.75,1.94,20.15,-0.32,17.5,-49.35,0.89,-32.72
5,15983,303,16071,303,15601,1346,14782,1024,1588,2727,18.84,1.94,20.15,1.94,13.14,-48.2,0.94,-32.72
6,19024,313,19115,309,18279,1282,17803,1017,1588,2727,19.09,1.46,20.45,1.66,7.99,-45.12,0.89,-32.38
7,22057,309,22154,309,21772,1336,20823,1024,1588,2727,19.24,1.66,20.69,1.66,14.99,-47.72,0.85,-32.72
8,25079,309,25173,309,24455,1289,23828,1027,1588,2727,19.64,1.66,21.04,1.66,10.34,-45.46,1.0,-32.86
9,28113,299,28217,306,27341,1296,26852,1024,1588,2727,19.79,2.14,21.34,1.8,8.29,-45.79,1.0,-32.72
10,31153,306,31250,303,30801,1329,29871,1021,1588,2727,20.04,1.8,21.49,1.94,14.8,-47.38,0.94,-32.57
11,34153,306,34257,303,33395,1292,32879,1021,1588,2727,19.99,1.8,21.54,1.94,8.69,-45.6,1.0,-32.57
12,37169,299,37277,303,36384,1292,35898,1017,1588,2727,22.24,2.14,23.85,1.94,10.54,-45.6,3.29,-32.38
